Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/22/2020,ID-JK,DKI Jakarta,2,0,3,-1,83,41,94,-52,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0.18,7.65,3.78,0.38,49.3976,113.25,0.25,0
3/22/2020,IDN,Indonesia,64,10,9,45,514,48,29,437,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.24,1.94,0.18,0.02,9.33852,5.64,0.79,1.67
3/22/2020,ID-JB,Jawa Barat,3,3,1,-1,53,11,69,-27,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.07,1.17,0.24,0.02,20.7547,130.19,0.6,0
3/22/2020,ID-JT,Jawa Tengah,1,0,1,0,19,13,17,-11,Province,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.52,0.36,0.04,68.4211,89.47,1,0
3/22/2020,ID-JI,Jawa Timur,14,0,0,14,53,34,337,-318,Province,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.35,1.31,0.84,0.08,64.1509,635.85,1.56,0
3/22/2020,ID-MA,Maluku,1,0,0,1,1,1,1,-1,Province,Maluku,Indonesia,Asia,Maluku,UTC+09:00,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,0.54,0.54,0.54,0.05,100,100,0,0
3/22/2020,ID-PA,Papua,2,0,0,2,2,1,2,-1,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,28,1,560,110,5411,319036,4340348,13.6,138.69603,-4.66620953,0.46,0.46,0.23,0.02,50,100,0,0
3/22/2020,ID-SU,Sumatera Utara,0,0,0,0,1,1,10,-10,Province,Sumatera Utara,Indonesia,Asia,Sumatera,UTC+07:00,25,8,450,693,5417,72981,14874889,203.82,99.05196442,2.191894453,0,0.07,0.07,0.01,100,1000,1,1
3/23/2020,ID-BA,Bali,0,0,0,0,2,2,3,-3,Province,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0,0.47,0.47,0.05,100,150,1,1
3/23/2020,ID-JK,DKI Jakarta,0,0,0,0,83,41,94,-52,Province,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,1,5,44,267,0,664,10846145,16334.31,106.8361183,-6.204698991,0,7.65,3.78,0.38,49.3976,113.25,0,1
3/23/2020,ID-YO,Daerah Istimewa Yogyakarta,0,1,0,-1,2,1,3,-2,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185,0,0.55,0.28,0.03,50,150,1,0
3/23/2020,IDN,Indonesia,65,1,1,63,579,49,30,500,Country,N/A,Indonesia,Asia,N/A,N/A,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.25,2.18,0.18,0.02,8.46287,5.18,1.02,0.1
3/23/2020,ID-JB,Jawa Barat,6,4,0,2,59,15,69,-25,Province,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.13,1.31,0.33,0.03,25.4237,116.95,2,1.33
3/23/2020,ID-JT,Jawa Tengah,3,0,0,3,22,13,17,-8,Province,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.08,0.6,0.36,0.04,59.0909,77.27,3,1
3/23/2020,ID-JI,Jawa Timur,2,1,0,1,55,35,337,-317,Province,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.05,1.36,0.86,0.09,63.6364,612.73,0.14,0
